model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_73_trigger,,66,11.677255819356409,0.3791257805530776,34,8968
global,global_in_51_trigger,,66,11.691248850350291,0.3791257805530776,34,8968
global,global_in_74_trigger,,66,11.117097027699508,0.423728813559322,38,8968
41,41_trigger,,67,11.149132459744292,1.784121320249777,160,8968
global,combine,,67,11.240851005840046,0.412578055307761,37,8968
global,global_in_41_trigger,,67,11.706512269114512,0.3791257805530776,34,8968
global,global_in_73_trigger,,67,11.660186189078093,0.3791257805530776,34,8968
global,global_in_51_trigger,,67,11.674321391559094,0.3791257805530776,34,8968
global,global_in_74_trigger,,67,11.102368564928993,0.423728813559322,38,8968
global,combine,,68,11.236686104222349,0.423728813559322,38,8968
global,global_in_41_trigger,,68,11.70254636640319,0.3791257805530776,34,8968
global,global_in_73_trigger,,68,11.656226627747998,0.3791257805530776,34,8968
global,global_in_51_trigger,,68,11.670276210522886,0.3791257805530776,34,8968
global,global_in_74_trigger,,68,11.098365850048763,0.423728813559322,38,8968
global,combine,,69,11.221896127331586,0.423728813559322,38,8968
global,global_in_41_trigger,,69,11.688354748258837,0.3791257805530776,34,8968
global,global_in_73_trigger,,69,11.641869649623358,0.3791257805530776,34,8968
global,global_in_51_trigger,,69,11.656003914594013,0.3791257805530776,34,8968
global,global_in_74_trigger,,69,11.083895893420204,0.423728813559322,38,8968
global,combine,,70,11.224451322836284,0.423728813559322,38,8968
global,global_in_41_trigger,,70,11.691173537302825,0.3679750223015165,33,8968
global,global_in_73_trigger,,70,11.644661775771047,0.3679750223015165,33,8968
global,global_in_51_trigger,,70,11.658812666662456,0.3679750223015165,33,8968
global,global_in_74_trigger,,70,11.086775305864537,0.423728813559322,38,8968
